1	весь	390	0.01
2	говорить	382	0.01
3	князь	375	0.01
4	конь	307	0.008
5	илья	302	0.008
6	владимир	289	0.008
7	сын	245	0.007
8	молодец	236	0.006
9	ещё	234	0.006
10	слово	231	0.006
11	свой	231	0.006
12	де	230	0.006
13	добрый	226	0.006
14	стать	219	0.006
15	таков	214	0.006
16	киев	212	0.006
17	ай	179	0.005
18	иван	177	0.005
19	царь	176	0.005
20	муромец	176	0.005
21	старый	174	0.005
22	добрыня	174	0.005
23	добрынюшка	160	0.004
24	город	157	0.004
25	град	154	0.004
26	земля	151	0.004
27	ка	147	0.004
28	богатырь	145	0.004
29	идти	144	0.004
30	сила	141	0.004
31	поехать	134	0.004
32	казак	132	0.004
33	молодая	123	0.003
34	пол	120	0.003
35	еси	115	0.003
36	красный	112	0.003
37	брать	111	0.003
38	василий	108	0.003
39	двор	105	0.003
40	пир	104	0.003
41	голова	102	0.003
42	поль	102	0.003
43	рука	101	0.003
44	чистый	101	0.003
45	михайло	100	0.003
46	матушка	99	0.003
47	добро	99	0.003
48	старое	98	0.003
49	скоро	94	0.002
50	молодой	93	0.002
51	великий	93	0.002
52	калика	92	0.002
53	удалый	85	0.002
54	взять	84	0.002
55	собака	83	0.002
56	ехать	82	0.002
57	сорок	82	0.002
58	дать	81	0.002
59	пойти	81	0.002
60	год	81	0.002
61	шатёр	80	0.002
62	бить	79	0.002
63	садка	79	0.002
64	гой	78	0.002
65	нога	78	0.002
66	дочь	78	0.002
67	змея	78	0.002
68	чар	77	0.002
69	имя	76	0.002
70	стольнокиевский	76	0.002
71	белый	73	0.002
72	сидеть	72	0.002
73	зелёный	72	0.002
74	богатырский	71	0.002
75	вино	70	0.002
76	жить	68	0.002
77	ой	68	0.002
78	дружина	66	0.002
79	чисто	66	0.002
80	жена	65	0.002
81	славный	64	0.002
82	твой	64	0.002
83	день	63	0.002
84	тко	63	0.002
85	никита	63	0.002
86	стольный	62	0.002
87	садиться	61	0.002
88	гость	60	0.002
89	дунай	60	0.002
90	сыр	59	0.002
91	солнышко	59	0.002
92	хоробрый	57	0.002
93	брат	56	0.001
94	хотеть	55	0.001
95	й	55	0.001
96	послать	54	0.001
97	стол	54	0.001
98	мочь	54	0.001
99	золото	54	0.001
100	терем	54	0.001
101	настасья	54	0.001
102	василь	52	0.001
103	братец	52	0.001
104	княгиня	52	0.001
105	поганый	52	0.001
106	палата	51	0.001
107	бел	51	0.001
108	приехать	50	0.001
109	татарин	50	0.001
110	стоить	49	0.001
111	крестовый	49	0.001
112	дак	49	0.001
113	наш	48	0.001
114	широкий	48	0.001
115	соловей	48	0.001
116	это	47	0.001
117	казна	47	0.001
118	место	47	0.001
119	грудь	47	0.001
120	корабль	46	0.001
121	держать	46	0.001
122	река	46	0.001
123	буйн	46	0.001
124	выходить	46	0.001
125	чёрный	46	0.001
126	михайлушка	46	0.001
127	ясный	45	0.001
128	могучий	45	0.001
129	батюшка	44	0.001
130	любимый	44	0.001
131	синий	44	0.001
132	класть	44	0.001
133	лебедь	44	0.001
134	млада	44	0.001
135	вострый	44	0.001
136	знать	43	0.001
137	единый	43	0.001
138	ныть	43	0.001
139	кабы	43	0.001
140	гора	42	0.001
141	никитинич	42	0.001
142	русский	42	0.001
143	пить	41	0.001
144	пора	41	0.001
145	ласковый	41	0.001
146	ах	41	0.001
147	мор	40	0.001
148	друг	40	0.001
149	сторона	40	0.001
150	сказать	39	0.001
151	говорят	39	0.001
152	бояр	39	0.001
153	начать	39	0.001
154	сокол	39	0.001
155	прекрасный	39	0.001
156	дело	38	0.001
157	хлеб	38	0.001
158	большой	38	0.001
159	ходить	38	0.001
